ablation_type,ablation_percentage,mae,mae_std,mse,mse_std,rmse,rmse_std,r2,r2_std,mae_norm,mae_norm_std,mse_norm,mse_norm_std,rmse_norm,rmse_norm_std,r2_norm,r2_norm_std,mae_degradation,mse_degradation,rmse_degradation,r2_degradation
MLP Ablation,0.0,0.8667115697976605,0.0,1.336796825084019,0.0,1.1561993016275434,0.0,0.7331314072287902,0.0,0.3838031589984894,0.0,0.26214003562927246,0.0,0.5119961285295744,0.0,0.7331314086914062,0.0,0.0,0.0,0.0,0.0
MLP Ablation,0.1,0.8576560118685617,0.03444624868868161,1.3094651438202196,0.07949869161950283,1.1438493034286137,0.03454328791683357,0.7385877093235255,0.01587055232444591,0.379793119430542,0.015253734404764857,0.2567803680896759,0.015589334152247442,0.5065271743679859,0.015296685060638105,0.7385877192020416,0.01587055568380195,-0.009055557929098845,-0.027331681263799368,-0.01234999819892968,-0.005456302094735244
MLP Ablation,0.2,0.8604470181515781,0.04652647773543437,1.316862921009505,0.11124973163048169,1.146667141365556,0.04734492724263178,0.7371108697985547,0.02220910370918587,0.38102903962135315,0.020603188604856888,0.25823104977607725,0.0218155755356613,0.5077749985596859,0.020965596522458302,0.7371108710765839,0.022209104038876493,-0.006264551646082417,-0.019933904074513897,-0.009532160261987332,-0.003979462569764447
MLP Ablation,0.3,0.8794578902212884,0.08217727586739873,1.3967166835936227,0.24039984251406354,1.1780902638576651,0.09899502679651725,0.7211694336368026,0.04799171158273539,0.38944757878780367,0.036390298785055515,0.273890021443367,0.04714135158172027,0.5216899996244717,0.04383765169077701,0.7211694300174714,0.047991698042484765,0.012746320423627888,0.059919858509603685,0.02189096223012177,0.011961973591987585
MLP Ablation,0.4,0.8718852595812188,0.07360320727864815,1.3656697044630666,0.1913565753479664,1.1660973789788267,0.08087443767125446,0.7273674313241834,0.03820106318506563,0.3860942006111145,0.032593480654306776,0.2678018555045128,0.03752419619352954,0.5163792376637935,0.035813380712803135,0.7273674190044404,0.038201074825442105,0.005173689783558255,0.02887287937904759,0.009898077351283341,0.005763975904606866
MLP Ablation,0.5,0.9447048002807286,0.09955293380285997,1.5966144052848725,0.31179552701831614,1.2580755460325819,0.12409819481046094,0.6812632768559755,0.062244637304929275,0.4183406502008438,0.04408471758316882,0.31308910101652143,0.06114173062983373,0.557109641397163,0.05495400580734002,0.6812632620334625,0.062244639191869656,0.07799323048306805,0.25981758020085355,0.10187624440503851,0.05186813037281468
MLP Ablation,0.6,1.0066402132278973,0.09480723952766405,1.804016988639593,0.29496074152408996,1.339256434804619,0.10754425690546891,0.6398589029687851,0.05888386068566479,0.4457673132419586,0.04198317194650398,0.353759828209877,0.05784051372716319,0.5930587080844014,0.04762348831240665,0.639858889579773,0.05888387831078561,0.1399286434302368,0.46722016355557394,0.18305713317707561,0.0932725042600051
MLP Ablation,0.7,1.2065204766283633,0.2083617375409466,2.3871716388901953,0.7817668514377977,1.5292528535733214,0.2322770106959186,0.5234420638798801,0.1560663637163201,0.5342796474695206,0.09226815204431925,0.46811390221118926,0.15330105465868216,0.6771942254351389,0.10285849637293915,0.5234420478343964,0.15606637235297893,0.33980890683070275,1.0503748138061764,0.37305355194577805,0.2096893433489101
MLP Ablation,0.8,1.4146832969072842,0.2101702500899182,3.2240078914446224,0.8001203586009312,1.7822919421547536,0.22959704889426433,0.35638203732341645,0.1597303271078654,0.6264597415924072,0.09306902581382025,0.6322138369083404,0.1569001257554958,0.7892467333054622,0.10167175328803607,0.356382018327713,0.1597303530943659,0.5479717271096237,1.8872110663606034,0.6260926405272103,0.3767493699053738
MLP Ablation,0.9,1.571432308122904,0.22400802364040548,3.867807837116976,0.827912161007283,1.95780470567897,0.1966626314226053,0.22785840358650672,0.1652784845088919,0.6958724141120911,0.09919675582569243,0.7584601759910583,0.16234993365339073,0.8669684936187945,0.08708748515408518,0.22785837650299073,0.16527846979454097,0.7047207383252435,2.531011012032957,0.8016054040514267,0.5052730036422834
MLP Ablation,1.0,1.963884605221462,2.340555645717801e-16,5.329073791347062,9.362222582871203e-16,2.3084786746571995,0.0,-0.06385831921866014,0.0,0.8696608543395996,0.0,1.0450080633163452,0.0,1.022256358902377,0.0,-0.06385838985443115,0.0,1.0971730354238014,3.992276966263043,1.152279373029656,0.7969897264474504
Attention Ablation,0.0,0.8667115697976605,0.0,1.336796825084019,0.0,1.1561993016275434,0.0,0.7331314072287902,0.0,0.3838031589984894,0.0,0.26214003562927246,0.0,0.5119961285295744,0.0,0.7331314086914062,0.0,0.0,0.0,0.0,0.0
Attention Ablation,0.1,0.8580382553014859,0.02811825978088013,1.3164794121374919,0.05876734899833555,1.1471167836146952,0.02587355765101937,0.7371874307770586,0.01173189480540146,0.3799623787403107,0.012451521492043321,0.25815584510564804,0.011524019968406666,0.5079741116463109,0.011457506165989331,0.7371874272823333,0.011731890019873473,-0.008673314496174589,-0.020317412946527114,-0.009082518012848206,-0.004056023548268395
Attention Ablation,0.2,0.8714219511919244,0.041746636224510233,1.345331854384731,0.10013950670725359,1.1591497043510937,0.04351011743776416,0.7314275347958206,0.019991137571775907,0.38588903844356537,0.018486541265951603,0.2638136878609657,0.019636914478010015,0.5133026172865859,0.019267443689825837,0.7314275324344635,0.019991122879029686,0.0047103813942639405,0.008535029300712038,0.002950402723550294,0.0017038724329696553
Attention Ablation,0.3,0.9210666986358153,0.04087241269480029,1.5148949999382444,0.10502702330128168,1.230145015548756,0.04266459186094692,0.697577156645138,0.02096684655845174,0.4078730672597885,0.018099402954216096,0.2970642805099487,0.020595336874116344,0.5447412493808936,0.018893024370908226,0.6975771307945251,0.020966851246272445,0.05435512883815474,0.1780981748542254,0.07394571392121274,0.03555425058365225
Attention Ablation,0.4,0.9982539620440759,0.06935629663456118,1.745080320421191,0.1898317829605375,1.3192763200613562,0.07141670942478213,0.651624599456791,0.0378966644977963,0.44205365478992464,0.030712843878931282,0.3422026038169861,0.037225175707780396,0.5842109756474554,0.03162523166422548,0.6516246020793914,0.03789666129362335,0.1315423922464154,0.4082834953371721,0.16307701843381284,0.08150680777199926
Attention Ablation,0.5,1.1408443526541807,0.0926537797057363,2.2035110564790186,0.27291422940273674,1.4819927202680279,0.08949632861240438,0.5601067538730892,0.054482652098885614,0.5051965147256852,0.04102958146822592,0.43209887742996217,0.05351728723537472,0.6562661776145846,0.03963137854872002,0.5601067304611206,0.05448266359640123,0.2741327828565202,0.8667142313949996,0.3257934186404845,0.17302465335570105
Attention Ablation,0.6,1.240872004986295,0.20241545820880763,2.55954669987038,0.7829350703381054,1.5857778581190778,0.2232469598390725,0.4890303349698103,0.1562995786133964,0.5494914323091507,0.089635000699371,0.5019159078598022,0.15353015028515,0.7022250223511173,0.09885975388158623,0.4890303075313568,0.15629959709630947,0.3741604351886344,1.222749874786361,0.4295785564915344,0.24410107225897992
Attention Ablation,0.7,1.416623083741315,0.2623606700038129,3.3088159639498462,1.210048991354878,1.7959853002582655,0.30414317755161563,0.33945155803110855,0.24156555839127006,0.6273187398910522,0.11618035629077095,0.6488443374633789,0.23728531752631435,0.7953105265672014,0.13468277046774205,0.3394515335559845,0.24156556130275092,0.5499115139436545,1.9720191388658272,0.6397859986307222,0.3936798491976817
Attention Ablation,0.8,1.6172835395487355,0.10349735506242232,4.05855491621382,0.45760483695364956,2.011629631935689,0.11499343040222998,0.1897790158900297,0.09135296897151444,0.716176587343216,0.045831387863396265,0.7958648443222046,0.08973430821064919,0.8908036161961469,0.05092218130608146,0.18977898955345154,0.09135297414298472,0.750571969751075,2.7217580911298014,0.8554303303081459,0.5433523913387606
Attention Ablation,0.9,1.6973583399350338,0.16699693427049184,4.221190304963463,0.6608709829259523,2.0487518405405725,0.16263866167769503,0.1573116457437193,0.13193157397399582,0.7516358315944671,0.07395074959779822,0.8277569234371185,0.12959391449518895,0.9072423221753241,0.07202077085461786,0.15731162428855897,0.13193157758755514,0.8306467701373733,2.8843934798794444,0.8925525389130291,0.5758197614850709
