smiles,solubility,cluster
Clc1ccccc1Br,-3.19,10
C=CCC=C,-2.09,4
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001,6
CC(C)CC(C)O,-0.8,7
CCc1ccc2ccccc2c1,-4.29,5
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281,6
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46,10
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999,11
OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,-3.931,6
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99,6
CCCCCC,-3.84,2
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,6
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,11
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,11
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84,6
ClC(Cl)(Cl)Cl,-2.31,11
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.634,6
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56,6
Cc1ccc(O)c(C)c1,-1.19,5
CC(=C)C(=C)C,-2.4,4
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176,6
C1CCCCCCC1,-4.15,2
Fc1cccc(Br)c1,-2.67,11
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461,6
CCBr,-1.09,4
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43,11
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259,6
NC(=S)N,0.32,11
Clc1cccc(Br)c1,-3.21,10
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11,1
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,-5.41,0
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,6
CC(C)(C)c1ccccc1,-3.66,5
COc1ccccc1OCC(O)COC(N)=O,-0.985,6
Cc1cccc(N)c1,-0.85,5
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004,11
CCCC=O,-0.01,2
Cc1cccc2ccccc12,-3.7,1
C1CCCCC1,-3.1,2
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726,1
CCCC(C)(O)CC,-0.98,7
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66,9
CC1CO1,-0.59,12
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9,9
COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,-3.2460000000000004,6
CC(C)C(O)C(C)C,-1.22,7
CCC(O)CC,-0.24,7
CO,1.57,11
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37,0
Cc1cc(=O)n(c2ccccc2)n1C,0.715,6
CC(C)CCO,-0.51,7
O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3,-3.46,6
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445,6
CC(=C)C1CC=C(C)C(=O)C1,-2.06,11
CCOCC,-0.09,12
BrC(Br)Br,-1.91,11
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59,1
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,6
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,6
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,0
Brc1cc(Br)cc(Br)c1,-5.6,1
ClCCl,-0.63,11
CCCCCC(=O)OCC,-2.35,12
Cc1cc(C)c(C)c(C)c1C,-4.0,5
O=C(Nc1ccccc1)Nc2ccccc2,-3.15,9
C#C,0.29,11
CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 ,-4.553999999999999,6
CCc1ccccn1,0.51,11
CC#N,0.26,4
CCC#CCC,-1.99,4
ClCBr,-0.89,11
COc1ccccc1O,-1.96,10
O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002,11
CCCC(=O)CCC,-1.3,2
ClC(Cl)C(Cl)(Cl)Cl,-2.6,4
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.89,9
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,1
CC(C)OC(=O)C,-0.55,12
COc2c1occc1cc3ccc(=O)oc23 ,-3.664,6
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,0
Oc1ccc(Cl)cc1Cl,-1.55,10
CCCC(C)(C)O,-0.49,7
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38,9
CCOC=O,0.15,12
CC1=CCCCC1,-3.27,4
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499,6
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,5
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,6
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278,11
Clc1ccccc1I,-3.54,10
CCCC(=O)OC,-1.92,12
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,6
CSSC,-1.44,11
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4,11
Cc1ccc(Cl)cc1,-3.08,5
ICI,-2.34,11
CCC(C)C(C)C,-4.28,2
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,6
CCc1ccccc1,-2.77,5
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,6
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,10
ClCC#N,-0.092,4
CCOC(=O)c1ccc(O)cc1,-2.35,5
CCC(C)(C)Cl,-2.51,4
OCC(O)C(O)C(O)C(O)CO,1.09,12
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,6
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364,11
CCCC/C=C/C,-3.82,4
