Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
1,457.4320000000001,7,3,7,202.32,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2
1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O)
2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1
2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 
1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
1,394.4230000000002,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1
1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1
1,70.135,0,0,2,0.0,-2.68,CCCC=C
1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC
1,78.542,0,0,0,0.0,-1.41,CC(C)Cl
1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO
1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1
1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O
1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC
1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1
1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
1,116.204,1,0,5,20.23,-1.81,CCCCCCCO
1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC
1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1
1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
1,96.944,0,0,0,0.0,-1.64,ClC(=C)Cl
1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32
1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O
2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2
1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
1,226.101,0,0,5,0.0,-4.81,CCCCCCCI
