measured log solubility in mols per litre,smiles
-1.4,Cc1cc(C)cc(O)c1
-0.39,CCCOC
-4.4,Brc1ccc2ccccc2c1
-2.676,CSc1nc(nc(n1)N(C)C)N(C)C
-8.0,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45
-5.752000000000001,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
-2.56,CC1=C(CCCO1)C(=O)Nc2ccccc2 
-7.39,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
-2.7,Nc1ccc(cc1)c2ccc(N)cc2
-6.237,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
-5.184,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
-3.35,CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O
-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
-1.4,CCCC(O)CCC
-5.16,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O
-2.82,C=Cc1ccccc1
-0.4,CC(C)(C)CO
-3.638,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
-7.68,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
-4.55,Ic1cccc2ccccc12
-2.016,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
-1.3,CCCC(=O)CCC
-3.51,C1CCCCCC1
-1.29,OC1CCCCCCC1
-2.06,CC(C)=CCCC(C)=CC(=O)
-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
-3.1710000000000003,CN(C)C(=O)NC1CC2CC1C3CCCC23
-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
-5.03,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O
-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
-1.87,CCCCCC(=O)OC
-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 
