smiles,g298_atom
CC1N(C)C(C)(C)C1=O,-1905.907357831
CCC(C)C1NC1C#N,-1847.7410385851
O=CN1CC1(C=O)C#N,-1299.035246314
O=CC1(CN1)C1CCO1,-1603.155600637
CC1C2OCC(C#C)C12,-1753.233163113
CC1=NC(CC#C)CO1,-1675.493583139
CC1OC2CC1(O)CO2,-1685.474741293
COC1(C)CC11COC1,-1814.3418720601
CC#CC(C)NCC=O,-1776.8231089501
CCCOC(=O)CC=O,-1716.015604323
CC1C(=O)OC1(C)C=O,-1597.856287132
CC1(COCO1)C(N)=O,-1601.7242526081
CN1C=NC(C=O)C1=N,-1483.263731097
Cc1c(nc(=O)on1)N,-1320.851851717
CCc1c(cc[nH]1)C#C,-1743.3065982421
CC1C2CC3CCC2C13,-2065.504231837
O=COC12C3C4C1N4C23,-1327.743155555
ON=C1CC2(O)CNC12,-1463.3422028741
CCN1C2C3OC2(C)C13,-1719.979578676
O=CC1C2CC3CC3N12,-1649.786421936
C#CC12CC(N1)C21CN1,-1533.2416854021
CCC(C)N(C)CC#N,-1965.1460899581
CCC#CC1(C)NC1C,-1933.6740035721
O=CC12OCC1N1CC21,-1463.719963292
CNC1CC(O)C1C#N,-1678.347494071
C1CC(C1)(C#N)C#N,-1378.573267082
CC(O)C(O)C(=O)C=O,-1527.850128074
O=CC12OC3C1OC23,-1124.837492896
COC1CCNCC1=O,-1742.7757256281
c1c(ocn1)N=CN,-1239.042875878
OC1C[NH2+]C(C1)C([O-])=O,-1601.4826616431
O=C1C(OC1C#N)C#N,-1183.483229018
C1COCCC2OC2C1,-1832.2999246221
CCCCC(=O)C1CC1,-2024.7299520351
ON=C1CC2COC12,-1319.284334235
COC1CC(O)C(C)O1,-1801.3292179271
O=C1C2OC2CC1C#N,-1412.363371714
CCC(CCO)C(C)=O,-1974.31274143
CCC(O)C1=NON=N1,-1384.1907276501
CCC1(CC1)NCC#N,-1844.0606983
CC1(C)NC1C(O)C#C,-1754.086575353
CN(C)CC(C=O)C#N,-1688.095846386
OCC12C(O)C1C1CN21,-1558.023898339
NC(=O)OCC(O)C=O,-1444.882143112
CC12CCCC11CC2O1,-1855.1261920061
CN1CC(O)(C#N)C1=N,-1465.380352106
CC1(O)CC2(CN2)C=C1,-1781.50432609
CCC12OC1C1NC21,-1473.620172785
NC(=O)C#CC1CCO1,-1504.144720581
CC1CC2C3C4C1C2N34,-1813.5537207561
CC#Cc1c([nH]cn1)O,-1474.230739042
CN1CC1CC(=O)C=O,-1617.029824627
OC1C=CCC1C1CC1,-1892.048821566
CCC(CO)C1CC1,-1860.30690631
Cc1cn(c(c1C)N)C,-1877.668825322
O=C1C2CN3C4C3C1C24,-1540.294886562
N#CC1NC1C1CN1,-1346.662551905
c1c(ncnc1F)N,-1185.201976169
C1CCC=C(CC1)C=O,-1921.4545208151
CC1(CO1)C1(CC1)C#C,-1745.92456579
Cn1cc(cn1)CO,-1441.700044973
C1C2CC3=NON=C3N12,-1308.448508823
C1C2C3CC(C4OC34)N12,-1640.875794136
COC12CC1C(C2)C#N,-1661.8665976951
CC(NCC#N)C(N)=O,-1603.508888204
CCOC1CC1C#C,-1609.658476404
CCC1C2CN1C2C#C,-1769.941845256
CC1C2NC1C2(O)C#N,-1533.351499477
CN=c1occ(o1)N,-1273.981949489
O=C1C2CC3CC1C2O3,-1634.0729690671
CC1C2CC(C)(O2)C1C,-2007.0856539731
OCC(O)CN1CC1,-1568.719789244
CCC(OC)C(=O)CC,-1970.444775954
OC12CC(COC1)C=C2,-1732.9683874671
CCCCC#CC(=O)N,-1805.6301646131
C#Cc1c(cc([nH]1)O)N,-1463.571871168
OCC1OCCC1C=O,-1687.024061014
CC1(O)CC(=O)C11CC1,-1733.7352034651
CC1(CC1O)OC=O,-1429.592886327
CCC(=O)C12CN(C1)C2,-1753.9334631571
Cc1c(nc(o1)O)C#C,-1413.905788836
CCC1CC11OCC1C,-1994.718079092
OCC1C2CC2N1C=O,-1616.8139615311
COC1CC1OCC#C,-1679.687225786
N#CC12COC1=NCC2,-1450.701034069
CC12CCCOC1CO2,-1841.3887649781
CC1OC1CCCC#N,-1795.8510643571
c1c(=O)onc(n1)C#N,-1073.5674975601
O=C1C2CC3(CO3)C1O2,-1429.1247646131
C1CC1(CO)C2COC2,-1815.2134820611
COC1CC(C)C1C#C,-1866.3799384121
CNc1cnoc1CO,-1507.882164185
CC12CC(N1C=O)C2=O,-1494.2350984531
c1c(nc(oc1=O)F)N,-1224.745710822
CCc1coc(n1)NC,-1712.4551182571
C1C=CCOCOC=N1,-1614.5097484831
C#CCOC(=N)NC=O,-1401.072602277
CC(C)C#CC1(C)CN1,-1932.517504485
OC1CC2(C1)C1COC21,-1689.832791298
CC(=O)C1CC1O,-1344.137455689
CC(C)(CC#C)C1CO1,-1866.0341809531
CCN=COCC(=O)C,-1749.392808033
OCC1OC1COC=O,-1510.838359084
Cc1c(cncc1F)F,-1406.844430059
O=C1CC(O1)C#C,-1105.3784388061
C1C2CC1C1=C2ON=N1,-1445.1293816581
OC(C#C)C1(O)CC1,-1441.53877516
COC(=O)NCC(C)O,-1719.1801322101
CCCC12C3C4C3C1C24,-1882.3964781281
C1CC1(CCC(=O)N)O,-1754.5973676791
OC1C2CC1N(C2)C=O,-1626.92375903
CCC12CC(O)(C1)C2O,-1818.873114549
CCOCCN=COC,-1844.355000021
CCC(=O)OC(C)C#C,-1741.796184079
OCC12NC3C4C1N4C23,-1500.011946307
CC(CC1CO1)NC=O,-1746.31362137
ON=C1CC2CC(O)C12,-1579.84803385
C1C2OC=NC3CC2C13,-1661.440519084
CC12CC(CO1)C2O,-1579.4501931441
C1CN2C1C21CC2NC12,-1670.754635171
NC(=O)C(O)C(O)C=O,-1441.444021301
ON=C1C=CCC2NC12,-1542.877713606
O=CCC1CCN1C=O,-1639.7851834941
CC1(CO1)C([NH3+])C([O-])=O,-1585.682612532
OC1COC(=N)C11CO1,-1453.927057838
O=CC1CC2OC12C=O,-1438.546184739
CC1(C)OC1C#CC=O,-1601.584318101
CC(O)COC(=O)CO,-1651.698441859
CC1CC(O)C(=N)O1,-1504.1051875141
NCC1(NC1C#N)C#N,-1403.770890977
CC1NC1C1CC(C)O1,-1881.5016502941
c1c(cncc1O)N,-1355.009676623
CC1(COC1)NCC#N,-1670.555714818
C1CC23CN4C(CC24)C13,-1785.723069097
C#CCC1(COC1)C#N,-1537.3173563571
c1c(c(oc1N)C#N)N,-1384.588568356
OC1CN2CC1(C2)C=O,-1604.529845347
O=C1C(C2CN12)N1CC1,-1532.5275801601
OC1C(C#C)C1N1CC1,-1620.9743462011
C1CC2(C1)CCOC2,-1751.958064825
c1c2n(c(n1)CO)CC2,-1572.156028528
OC1CC2OC2C2OC12,-1544.891389987
CC1=C(C=CCCC1)C,-2078.020526351
CC1C2C3C=CC2C13C,-1920.1129065731
c1cocc1C2CC2,-1538.3703164591
O=C1NCC=CC2CC12,-1691.7259859511
CC(O)C12CC1N1CC21,-1732.180236163
C(CC=O)CNC(=O)N,-1669.303206854
CC1(COC1CO)C#N,-1621.299395863
CC1OC(C)=NC1C#N,-1601.928193033
N#CC1C2CC=CCN12,-1620.432805934
Cn1ccnc1COC,-1702.605109484
c1cnc-2nccoc12,-1367.472632872
N=COCC1NCC1=O,-1511.375506788
CCN(C)c1ncco1,-1705.428899984
CC1C2C3OC(=O)C3N12,-1483.7450305
OC1CC2CCC=C2C1,-1911.332173136
OC1CC11NC(=O)C1O,-1454.6016300131
C#CC1C=CCC11CO1,-1642.7143955061
CC(O)C(=O)CC1CC1,-1852.54461998
C(CNC=O)C#N,-1205.436631383
CC12CCC(C=C1)C2=O,-1805.2022034751
CCC(CO)OC=N,-1598.947525283
N=C1NCC11OC1C#C,-1412.619395386
CC1C2CC3C4C1C2N34,-1813.5769385891
CC12C(O)CC1NC2=O,-1631.569208157
C1OCC#CC=CC=C1,-1642.20360318
